aardvark
abalone
abandon,vacate,wildness
abandonment,desertion
abbey
abdomen,abdominal_cavity
abdominal
abduct,kidnap
abduction
abide,bide,digest
abiding,bide,digest
ability
abject
ablaze
able
abnormal
abnormality
abode,bide,digest,dwelling,residence
abolish
abominable,atrocious
abomination,abhorrence
abort
abortion,miscarriage
abracadabra
abrasive,harsh
abreast
abrupt
abscess
absence
absent,lacking
absinthe,absinth,common_wormwood
absolute
absolution
absolve,shrive
absorb,steep
abstain
abstinence
abstract,abstraction,outline,pilfer
absurd
absurdity
abundance
abundant
abuse,maltreatment,mistreat,misuse,pervert
abusive
abysmal
abyss,expiate
academic,academician
academy
accelerant
accelerate
accelerated,accelerate
acceleration
accelerator,catalyst
accent,dialect,emphasis,stress
accept,bear,take
acceptable,satisfactory
acceptance,adoption,credence,toleration
access,entree
accessible
accessory,accessary
accident
accidental
acclaim,applaud
accommodate,adapt,lodge,oblige,suit
accommodation,adjustment
accompany,attach_to,company,play_along
accomplice
accomplish,achieve,carry_through
accomplishment,skill
accord,agreement,harmonize,treaty
accordion
account,bill,explanation,history,report,score
accountability
accountable
accountant
accounting,account,accountancy,report
accumulate,roll_up
accuracy
accurate
accursed,accurse
accusation
accuse,charge
ace,allied_command_europe,angiotensin_converting_enzyme,breeze_through,one
acetylene
ache,hurt
achieve
achievement,accomplishment
achy,aching
acid,acerb,acidic
acknowledge,admit,notice
acknowledgement,acknowledgment,recognition
acne
acorn
acoustic
acoustics,acoustic
acquaintance
acquire,assume,develop,get,grow,learn
acquisition,learning,skill
acquit,behave
acquittal
acre
acreage
acrobat
acrylic,acrylic_fiber
act,dissemble,work
action,carry_through,legal_action,military_action,natural_process
action figure
activate,trip
activation,energizing
active,active_agent,active_voice
activist,militant
activity,action,activeness,bodily_process,natural_process
actor
actress
actual
actuality
acupuncture
acute,acuate,acute_accent
ad
adage,proverb
adamant,diamond
adapt,adjust
adaptation
add,attention_deficit_disorder,lend,total
adder
addict
addicted,addict
addiction
addictive
additional,extra
address,cover,savoir-faire
adept,ace
adequate
adhere,cling,stand_by
adhesive,adhesive_material
Adidas
adjacent
adjective,adjectival
adjoining,adjoin,border,touch
adjourn
adjust,align
adjuster
adjustment,adaptation,allowance,alteration
admin
administer,distribute
administration,government,presidency
administrative
administrator
admirable
admiral
admiralty
admiration,wonder
admire
admired,admire
admirer,supporter
admissible
admission,entrance_fee,entree
admit,accept,accommodate
admittance,admission,entree
ado,bustle
adobe
adolescence
adolescent
adopt,assume,dramatize,espouse
adoption,borrowing
adoptive,adopted
adorable
adoration,worship
adore
adoring,adore
adrenalin,epinephrine
adrenaline,epinephrine
adrift
adult,pornographic
adulterer,adult,pornographic
adultery
adulthood
advance,boost,gain,improvement,overture,progress,promote
advanced,advance,boost,gain,progress,promote
advancement,progress,promotion
advantage
advantageous
adventure,gamble,venture
adventurer,explorer
adventurous
adversary
adverse
adversity
advertise
advertisement,ad
advertising,ad,advertise
advice
advisable
advise,propose,rede
advisement,deliberation
adviser
advisor,adviser
advisory
advocate,preach,recommend
aerial,aeriform,antenna,forward_pass
aerobics
aerodynamic,streamlined
aerospace
aesthetic
affair,matter
affect,feign,involve
affection
affectionate
affidavit
affiliation
affinity
affirmation,avowal
affirmative,approving
affliction
afford,yield
affordable,low-cost
affront,diss,insult
afire,ablaze
afloat,adrift
aforementioned,aforesaid
afraid
african
afterlife
aftermath,consequence
afternoon,good_afternoon
aftershave
age,historic_period,long_time,old_age,senesce
agency,means,representation
agenda
agent,agentive_role
aggravate,exacerbate,worsen
aggravation
aggression
aggressive
aggressiveness,aggression
aggressor,attacker
agile
agility
aging,age,ripening,senesce
agitate,crusade,shake,stir
agitation
aglow
agonizing,agonize
agony
agree,harmonize,match
agreeable,accordant
agreement
agricultural,agrarian
agriculture,agribusiness,department_of_agriculture,farming
ahoy
aid,care,help
aide,adjutant
aids,aid,care,help
AIDS,aid,aids,care,help
ailing,ail,trouble
ailment
aim,bearing,calculate,draw_a_bead_on,drive,purpose,target
air,air_out,air_travel,atmosphere,breeze,publicize,tune,vent
airbag
airborne
aircraft
aircraft carrier
airfield
airhead
airline
airliner
airlock
airplane
airport
airship
airspace
airspeed
airstrip
airtight
airway,air_lane,air_passage,airline,respiratory_tract
aisle
ajar
aka
alabaster
alarm,alarm_clock,dismay
alarm clock
alarming,alarm,dismay
albatross
albino
album
alcohol
alcoholic
alcoholism,dipsomania
alcove
alderman
ale
alert,alarm
alfalfa
algebra
algorithm
alias
alibi,excuse
alien,estrange,extraterrestrial_being,foreigner,stranger
alienate,alien,estrange
alienation
alight,ablaze
align
alignment,alliance,conjunction
alimony
alive,active,alert,animated
allegation
alleged,allege
allegiance,commitment
allegro
allergic
allergy
alleviate,facilitate,relieve
alley,bowling_alley
alleyway,alley
alliance,confederation
allied,ally
alligator
allow,admit,give_up,leave,let,permit
allowance,valuation_reserve
alloy,admixture,debase
allure,tempt
alluring,tempt
ally
almanac
almighty,godhead
almond
aloha
alone,entirely
aloof
alpha
alphabet,rudiment
alphabetical,alphabetic
alpine
altar
altar boy
alter,change,interpolate
alteration,change,revision
altercation,affray
alternate,interchange,surrogate,understudy
alternating,alternate,interchange,understudy
alternative,alternate,option
altimeter
altitude,elevation
aluminum
alumnus
alzheimers,alzheimer's_disease
